reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
c0398d79-bb36-4483-b14e-e8344753aaeb,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bagus banget,5,0,,2024-07-03 02:23:58,,,
b1b1d8a9-05b3-40aa-b0b2-b7c24e6ea21f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bisa ngedit,5,0,,2024-07-03 02:23:47,,,
71ece7cb-b17a-4cba-a11b-0fbcd48bc19a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bagusss,5,0,,2024-07-03 02:23:18,,,
c5d1a863-1f3d-4223-942b-fb8e040b8c2e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bismillah,5,0,12.0.0,2024-07-03 02:18:50,,,12.0.0
b9089923-83a1-4564-a1d4-de09157a88c1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"sekarang ribet bngt cih, kudu nonton dlu iklan",1,0,12.0.0,2024-07-03 02:18:31,,,12.0.0
fc592035-be01-45fa-9e62-9152c10081af,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Capcut ini terbagus untuk edit foto/fideo,5,0,,2024-07-03 02:18:30,,,
7063cbec-1a46-4d23-b135-bf49ab41dfb3,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aplikasi ini bagus kita bisa membuat video dari gambar dan kita bisa mengedit nya aku kasih bintang 5,5,0,,2024-07-03 02:17:36,,,
df623198-0149-4168-b9f8-3d510c73d996,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Kerrn,5,0,12.0.0,2024-07-03 02:14:27,,,12.0.0
3d103c53-14fb-48e9-8930-28b9b27723f4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Udah lama bgt pke apk ini, sebenernya apk ini bagus bgt tp IKLANNYA BRUTAL SEKALIIII",1,0,12.1.1,2024-07-03 02:11:37,,,12.1.1
7f3c269b-9135-4e54-a0aa-2260f65a2428,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bagus,5,0,12.1.1,2024-07-03 02:11:15,,,12.1.1
766a1b9f-c770-495a-9049-658bb9bef724,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Sangat puas sekali,5,0,12.1.1,2024-07-03 02:06:45,,,12.1.1
9580d64e-9b34-4522-b563-784dda15489f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Jedag jedug nya bagus banget tapi tolong jangan ada iklan tapi aku bersyukur banget bestie aku senang😊udah segitu aja semoga bermanfaat ya maaf kalo ada yang salah 😅 aku umur 9tahun,5,0,12.1.1,2024-07-03 02:05:00,,,12.1.1
1868c217-858f-4564-a64c-ede3e178fda8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aku sangat bangga punya aplikasi capcut,5,0,,2024-07-03 02:04:24,,,
54a88c27-d935-44b2-b0e4-9313df5cabb4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aku suka banget cap cut ini,4,0,,2024-07-03 02:02:49,,,
f94376b0-7d77-4827-ab56-7fc780b139a5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bagus,5,0,12.1.0,2024-07-03 02:02:46,,,12.1.0
0e421b02-7ebd-4648-8409-ec1bba62413c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Sekarang bnyk iklan mana nglek lagi,1,0,12.0.0,2024-07-03 01:59:07,,,12.0.0
d282eb84-a166-4ac7-ab72-df53f5b81741,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mohon MB nya di kecilin dikit min biar yang hpnya kentang bisa make apk ini,1,0,,2024-07-03 01:57:55,,,
8a7e61f9-4316-4bfe-ae98-14c89a221f36,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,BANYAK IKLAN BANGET 😞,3,0,,2024-07-03 01:57:13,,,
fefc8e2c-93cf-4a05-8056-15a228fe8de0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus,1,0,,2024-07-03 01:57:08,,,
6874bcf3-3b25-4563-bae4-a949032953b3,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bagus bgt,1,0,,2024-07-03 01:53:41,,,
f480046f-aead-4a1d-8385-68d7c5d96374,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bagussssss bgetttttttttttttt,5,0,12.0.0,2024-07-03 01:51:04,,,12.0.0
c124ba6c-5b5a-4a1a-b80f-e87eadabe7de,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,💗💗💖♥️👍👍😋😋🤗 trbaik,5,0,12.0.0,2024-07-03 01:50:36,,,12.0.0
1840c610-871c-44cb-bd72-dd03caddc717,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Sangat bagus untuk mengedit,5,0,12.1.1,2024-07-03 01:49:49,,,12.1.1
